0,1,279,279,34,0,0,0,3,16,5,4,0,0,0,0,4,11,3,3,0,0,0,0,1,10,0,0,0,0,30,0,0,30,0,70,3,4,30,0,0,0,3,6,3,6,1,0,0,0,1,0,1,17,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1
0,1,202,202,27,0,0,0,0,0,2,2,0,0,0,0,2,3,1,1,0,0,0,0,1,10,0,0,0,0,50,0,0,0,0,70,3,5,0,0,2,0,3,0,3,0,0,0,0,0,1,0,1,49,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
0,3,478,478,12,0,0,0,0,0,2,2,0,0,0,0,4,0,3,3,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,30,3,5,0,0,1,1,2,3,2,3,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,3,2,0,0,2,1,1,0,0,1,4,1,0,0,0
1,2,549,549,4,0,0,0,1,11,3,3,1,0,1,1,6,14,6,6,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,5,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,7,2,5,3,1,0,0,0,1,0,5,4,0,0,0,0,0,0,1,0,3,1,0,0,0
0,3,351,351,26,0,0,0,0,0,2,2,0,0,0,0,6,18,6,6,0,0,0,0,0,10,0,0,0,0,50,3,6,30,1,70,3,6,30,1,0,0,3,7,3,7,0,0,0,0,0,0,0,30,2,7,3,0,1,0,0,0,0,6,4,1,0,2,1,0,1,1,0,9,2,0,0,0
1,3,159,159,38,0,0,0,1,6,2,2,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,7,2,0,0,0
1,1,115,115,28,0,0,0,0,0,2,2,1,0,1,1,4,6,3,3,0,0,2,0,1,10,0,0,0,0,30,1,4,0,0,70,3,0,70,1,2,0,3,0,4,0,1,0,0,0,1,0,0,43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
0,3,260,260,9,0,1,0,0,0,2,2,0,0,0,0,2,1,1,1,1,0,2,0,1,10,1,0,0,0,50,3,0,0,0,70,3,0,0,0,2,0,3,0,4,0,1,1,1,0,1,1,1,57,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,4,1,1,1,1
0,3,286,286,24,0,0,0,0,0,2,2,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,1,3,3,1,1,1,2,2,0,6,4,1,0,3,1,0,0,0,0,10,2,0,0,0
0,3,573,573,11,0,0,0,0,0,2,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,0,0,0,1,1,6,6,1,1,1,0,1,0,0,1,9,2,0,0,0
