classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
1,2,269,269,7,0,0,0,1,0,1,1,1,3,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,1,3,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,18,2,13,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0
0,2,402,402,21,0,0,0,1,9,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1
1,3,541,541,10,0,0,0,1,0,1,1,1,4,1,1,1,13,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,30,1,0,0,2,3,2,3,1,0,0,0,0,0,0,14,1,5,3,1,0,0,0,0,0,6,6,1,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0
0,1,171,171,9,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,2,1,1,1,1,10,0,0,0,0,10,0,0,0,0,70,3,4,0,0,0,0,2,2,2,2,0,0,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0
0,2,377,377,10,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,5,0,0,1,1,2,3,2,3,0,0,0,0,0,0,0,12,2,1,3,1,0,0,0,0,0,6,6,1,1,0,0,0,0,0,0,3,1,0,0,3,0,0,0
0,1,279,279,34,0,0,0,1,16,1,1,1,0,1,1,1,11,1,1,0,0,0,0,1,10,0,0,0,0,30,0,0,30,0,70,3,4,30,0,0,0,3,6,3,6,1,0,0,0,1,0,1,17,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,1
0,3,307,307,9,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,30,0,0,0,0,50,0,0,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,21,2,9,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,1,1,6,1,0,0,0,0,0,0
0,3,478,478,12,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,30,3,5,0,0,1,1,2,3,2,3,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,3,2,0,0,2,1,1,0,0,1,4,1,0,0,3,0,0,0
0,3,286,286,10,0,0,0,1,0,1,1,1,0,1,1,1,17,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,5,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,1,1,3,1,0,0,3,0,0,0
1,3,219,219,12,0,0,0,1,13,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,30,0,0,0,0,50,3,6,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,17,2,3,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,1,1,3,1,0,0,3,0,0,0
1,2,549,549,4,0,0,0,1,11,1,1,1,0,1,1,1,14,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,5,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,7,2,5,3,1,0,0,0,1,0,5,4,0,0,0,0,0,0,1,0,3,1,0,0,3,0,0,0
